Key	Value
信鸽信息	Thông tin bồ câu
{0} 被 {1} 邀请进行战斗，惜败。	{0} bị {1} mời tham gia chiến đấu, tiếc rằng thất bại.
检测到{0}个存档文件与云端文件冲突,请前往存档页面手动解决!	Phát hiện {0} tệp lưu xung đột với tệp trên đám mây, vui lòng đến trang lưu để giải quyết thủ công!
九幽绝地	Cửu U tuyệt địa
整理好心情，准备开始练习护体	Điều chỉnh tâm trạng, chuẩn bị bắt đầu luyện tập hộ thể
喂给{0}{1}	Cho {0} ăn {1}
尸体	Xác chết
旁门：{0:N0}/{1:N0}	Bàng môn: {0:N0}/{1:N0}
空旷	Trống trải.
这是你的第一次进行淬体标签选择。在这之后，当淬体结果只有基础百炼标签可选时，系统会自动进行选择，本窗口将不再弹出。	Đây là lần đầu tiên bạn thực hiện lựa chọn nhãn luyện thể. Sau đó, khi kết quả luyện thể chỉ có thể chọn nhãn cơ bản Bách Luyện, hệ thống sẽ tự động lựa chọn, cửa sổ này sẽ không xuất hiện nữa.
启智与思考\n	Khai trí và suy nghĩ\n
灵刻	Linh khắc
新其他装备	Trang bị khác mới
我	Tôi
在缝纫时，差点被扎伤自己，正一脸后怕	Trong lúc may vá, suýt bị kim đâm vào tay, đang lo sợ
不再提醒	Không nhắc lại
该物品已经不能开光了	Vật phẩm này không thể khai quang nữa.
修行相关	Liên quan đến tu hành
功法匹配	C.Pháp phù hợp
[真仙]	[Chân Tiên]
未安装存档关联的DLC，无法进入	Chưa cài đặt DLC liên quan đến tệp lưu, không thể vào
战斗法术	Pháp thuật chiến đấu
\n可持有时间：{0}	\nThời gian sở hữu: {0}
调查	Điều tra
当前额外次数:{0}\n每购买30天[color=#FF0000][b]{1}[/b][/color]获得 {2} 次额外次数，没有次数上限\n使用仙灵妙法时会优先消耗额外次数	Số lần thêm hiện tại: {0}\nCứ mỗi khi mua 30 ngày [color=#FF0000][b]{1}[/b][/color] sẽ nhận thêm {2} lần, không giới hạn số lần tối đa\nKhi sử dụng Diệu Pháp Tiên Linh sẽ ưu tiên tiêu hao số lần thêm này
魔殿	Ma điện
焚香祈愿，准备开始炼制丹药	Đốt hương cầu nguyện, chuẩn bị luyện chế đan dược
请检查需要上传的文件是否已丢失或处于打开状态	Vui lòng kiểm tra xem tệp cần tải lên có bị mất hoặc đang mở không
钓到了野生的{0}	Câu được một con {0} hoang dã
确定删除以下灵智吗？\n\n{0}	Xác nhận xóa linh trí sau đây?\n\n{0}
正垂钓地有点厌烦	Đang câu cá cảm thấy hơi chán
还未设置该模组的名称	Chưa đặt tên cho mô-đun này
(未鉴定)\n	(Chưa định danh)\n
建筑人文	Kiến trúc văn hóa
术法冷却缩短:	Giảm thời gian hồi chiêu thuật pháp:
奖励已领取。	Phần thưởng đã nhận.
\n[align=center][color=#9e6404]----功法进阶----[/color][/align]	\n[align=center][color=#9e6404]----Tiến阶 công pháp----[/color][/align]
杂项	Tạp vật.
{0}获得秘体：[{1}]\n{2}	{0} nhận được thể chất bí mật: [{1}]\n{2}
平淡乏味	Buồn tẻ và nhạt nhẽo
[color=#ff0000][显现][/color]	[color=#ff0000][Hiển hiện][/color]
{0}测试通过！	{0} kiểm tra thành công!
写入数据	Ghi dữ liệu.
阵法运转	Trận pháp vận hành
解锁战斗姿态:[{0}]\n	Mở khóa tư thế chiến đấu: [{0}]\n
农人	Nông dân
享乐	Hưởng lạc
{0} 需要激活前置模组:\n{1}\n	{0} cần kích hoạt mô đun tiền đề:\n{1}\n
未找到动物死亡变妖兽的常量配置	Không tìm thấy cấu hình hằng số cho động vật chết biến thành yêu thú
失败累积{0}({1:N0})次（炼丹，炼器，突破，战斗中倒地）	Tích lũy thất bại {0}({1:N0}) lần (luyện đan, luyện khí, đột phá, ngã trong chiến đấu)
编辑形象	Chỉnh sửa hình tượng
友方	Đồng minh
代理事件：{0}	Sự kiện đại diện: {0}
<font color=#FF0000>(境界不够，无法修炼)</font>\n	<font color=#FF0000>(Cảnh giới không đủ, không thể tu luyện)</font>\n
孵蛋	Ấp trứng
移动速度：{0:F1}米/秒\n	Tốc độ di chuyển: {0:F1} mét/giây\n
在移除工作之时，突然心烦意乱	Trong lúc gỡ bỏ công việc, bất chợt tâm phiền ý loạn
选择神通	Chọn thần thông
瓶颈收获\n	Thu hoạch từ cổ chai\n
将一个法宝激活进度拉满	Làm đầy tiến độ kích hoạt một pháp bảo
请选择可设置区域	Vui lòng chọn khu vực có thể thiết lập
当前已有名为:[{0}]的存档文件,继续拉取将会覆盖,是否仍然拉取	Đã có tệp lưu tên: [{0}], tiếp tục thao tác sẽ ghi đè lên tệp hiện tại, bạn có muốn tiếp tục không?
归属分堂	Thuộc phân đường
正心不在焉的砍柴中	Đang chặt củi một cách lơ đãng
煞性凌冽	Sát tính lạnh lẽo
太平盛世	Thái bình thịnh thế
傀儡	Khôi lỗi
修理	Sửa chữa
无法选择该护法	Không thể chọn hộ pháp này
门望等级升级....., 可能会触发天道异动！	Cấp độ danh vọng môn phái tăng cấp..., có thể kích hoạt dị động thiên đạo!
在挖矿间余，正想小憩片刻	Trong lúc đào mỏ, đang muốn nghỉ ngơi một chút
将一个角色重生重置数值	Đặt lại giá trị của một nhân vật bằng cách tái sinh.
上古巨兽	Cổ Thú Thượng Cổ
未知错误	Lỗi không xác định
(手语)	(Ngôn ngữ ký hiệu).
游戏难度	Độ khó trò chơi
游戏中的资源采集，也通过命令下达的方式来完成。\n游戏中针对不同的资源拥有不同的命令。\n例如[开采]对应[矿石]，[砍伐]对应[树木]。	Việc thu thập tài nguyên trong trò chơi cũng được thực hiện thông qua cách ra lệnh.\nTrò chơi có các lệnh khác nhau cho từng loại tài nguyên.\nVí dụ: [Khai thác] tương ứng với [Quặng], [Chặt cây] tương ứng với [Gỗ].
阅读以领悟功法	Đọc để lĩnh ngộ công pháp
暂未开放,需要在赛季的第{0}周才能查看!	Chưa mở, phải đến tuần thứ {0} của mùa mới xem được!
从之前突破失败中获得的成功率加成。失败次数越多，成功率越高。	Tỷ lệ thành công tăng từ lần thất bại trước. Càng thất bại nhiều, tỷ lệ thành công càng cao.
凡人生活困苦，更容易相信他人。	Cuộc sống của người phàm khó khăn, dễ tin tưởng người khác hơn.
道行天劫	Đạo hạnh thiên kiếp
是啊，就是不知道二师兄喜欢什么样的女孩子。哎呀！不过说起来，掌教真人此番闭关能进阶[color=#ff0000]上品金丹[/color]的话，我们太一门也称得上的名门大派了！	Đúng vậy, chỉ không biết nhị sư huynh thích kiểu con gái nào. Ôi! Nhưng mà nói đi cũng phải nói lại, nếu chưởng giáo chân nhân lần này bế quan có thể tiến giai [color=#ff0000]Kim Đan thượng phẩm[/color], thì Thái Nhất Môn chúng ta cũng có thể được gọi là môn phái danh tiếng rồi!
调整当前时间	Điều chỉnh thời gian hiện tại
正在获取角色	Đang lấy nhân vật
建立门派后，派遣内门弟子前往驻扎，弟子会持续历练直到28天后或者发生受伤。\n（驻扎中每隔2到4天触发一次事件且随时可以召回）	Sau khi thành lập môn phái, phái đệ tử nội môn đi đóng quân, đệ tử sẽ tiếp tục rèn luyện cho đến 28 ngày hoặc bị thương.\n(Trong thời gian đóng quân, mỗi 2 đến 4 ngày sẽ kích hoạt một sự kiện và có thể triệu hồi bất cứ lúc nào)
解锁淬体之法:[{0}]\n	Mở khóa phương pháp luyện thể: [{0}]\n
长时间未响应，建议重新建立	Không phản hồi trong thời gian dài, đề nghị tạo lại
避灾之法	Phương pháp tránh tai họa
大能出世	Đại năng xuất thế.
当前无存档！	Hiện tại không có lưu trữ!
缘分：{0:P0}	Duyên phận: {0:P0}
刚刚玩了个痛快，正准备收收心	Vừa chơi vui vẻ xong, đang chuẩn bị tập trung lại
请选择一株植物	Vui lòng chọn một cây
{0}已经拥有一块区域了，要替换吗？	{0} đã sở hữu một khu vực, muốn thay thế không?
\n[color=#FFFF00]受以下状态影响:[/color]	\n[color=#FFFF00]Chịu ảnh hưởng bởi các trạng thái sau:[/color]
[color=#880000](不再支持的MOD版本:{0})[/color]	[color=#880000](Phiên bản MOD không còn được hỗ trợ: {0})[/color]
火属性	Thuộc tính hỏa
请选择一个弥留的角色	Vui lòng chọn một nhân vật đang hấp hối
祖师殿	Điện Tổ Sư
{0}({1}级){2}	{0}({1} cấp){2}
选择要炼制的丹药	Chọn đan dược cần luyện chế
正觉得很渴，准备喝点东西	Đang cảm thấy khát, chuẩn bị uống chút nước
账号变更,请重新启动游戏!	Tài khoản đã thay đổi, vui lòng khởi động lại trò chơi!
精致	Tinh tế
物品缺少名称无法保存	Thiếu tên vật phẩm, không thể lưu
灵淬成功率：{0}	Tỷ lệ thành công linh tẩy: {0}
猎户	Thợ săn
选择文件夹	Chọn thư mục
刚完成建筑工作，准备洗洗手收工	Vừa hoàn thành công việc xây dựng, chuẩn bị rửa tay nghỉ ngơi
天谴	Thiên khiển.
周天神算	Chu Thiên Thần Toán
装备道具	Trang bị đạo cụ
长孙	Trưởng tôn
信徒数量\n靠行走天下获得。在开辟神国之前，你最多只能拥有1000个信徒。	Số lượng tín đồ\nNhận được bằng cách đi khắp thế gian. Trước khi mở thần quốc, bạn chỉ có thể có tối đa 1000 tín đồ.
器官	Cơ quan
土属性伤害减免	Giảm sát thương thuộc tính thổ
请选择一个合适的飞升地点	Hãy chọn một địa điểm phi thăng phù hợp
信徒加成	Gia tăng tín đồ
一境:初现	Nhất cảnh: Sơ hiện
开局名应在{0}个字符以内	Tên khởi đầu nên trong vòng {0} ký tự
确定删除以下物品吗？\n\n{0}	Xác nhận xóa các vật phẩm sau đây?\n\n{0}
匹配程度：{0:P0}	Mức độ phù hợp: {0:P0}
从根本上增加百分比	Tăng phần trăm từ gốc
四	Bốn
秘闻事件选择工具	Công cụ lựa chọn Sự kiện bí văn
感觉这些证据不太能认定他们跟此事的关系，或是想得太多了？\n	Cảm thấy những chứng cứ này không thể xác định họ có liên quan đến việc này, hay là nghĩ quá nhiều rồi?\n
你的名次:未上榜（未达成目标）	Xếp hạng của bạn: Chưa lên bảng (chưa đạt mục tiêu)
寻求物资	Tìm kiếm vật tư
领取失败,没有可放置奖励的区域	Nhận thất bại, không có khu vực để đặt phần thưởng
开天辟地	Khai thiên phá địa
{0}此物不可通灵	{0} vật này không thể thông linh
预览图像需小于 1 MB，或云端空间不足。	Hình ảnh xem trước phải nhỏ hơn 1 MB hoặc không gian lưu trữ đám mây không đủ.
新建地图	Tạo bản đồ mới
将角色参悟值归零	Đưa giá trị ngộ của nhân vật về 0.
成就 ({0}/{1})	Thành tựu ({0}/{1})
生成大地土壤	Tạo đất
(阳)	(Dương)
你的情感依然很丰富，依然会被喜怒哀乐所动。这些凡人的情感让你对神力的掌握倍加艰难，但也正因如此，就算是很平凡很微小的信仰你都能感受并收取。	Cảm xúc của bạn vẫn rất phong phú, vẫn bị ảnh hưởng bởi hỉ, nộ, ai, lạc. Những cảm xúc phàm nhân này khiến bạn khó kiểm soát thần lực, nhưng cũng chính vì vậy, bạn có thể cảm nhận và thu nhận cả những tín ngưỡng rất nhỏ bé và bình thường.
炼器	Luyện khí
高帧率下体验会更加流畅，但是会导致手机发热且加大电量消耗	Trải nghiệm sẽ mượt hơn ở tốc độ khung hình cao, nhưng sẽ khiến điện thoại nóng hơn và Tiêu hao pin tăng lên
所有效果({0}/{1})	Tất cả hiệu quả ({0}/{1})
在收获间余，刚小憩片刻	Trong lúc thu hoạch, nghỉ ngơi một lát
炼器相关	Liên quan đến luyện khí
教学提示已经重置！	Gợi ý hướng dẫn đã được thiết lập lại!
成员	Thành viên
壮加	Tăng cường
大型综合	Tổng hợp lớn
<font color=#00FF00>可选中</font>	<font color=#00FF00>Có thể chọn</font>
制作	Chế tạo
刚练完护体，正觉得有点意犹未尽	Vừa luyện xong hộ thể, đang cảm thấy hơi tiếc nuối
敌视	Thù địch
重载FightDriver	Tải lại FightDriver
此物品流拍！	Vật phẩm này không ai mua!
{0}({1}阶)\n{2}\n{3}	{0}({1} bậc)\n{2}\n{3}
物品被锁定	Vật phẩm bị khóa
{0}天后的{1:N0}点	{0} ngày sau vào lúc {1:N0}
正在乐呵呵的种植中	Đang vui vẻ trồng trọt
护御	Hộ ngự
{1}\n{2}\n成功率:{0}\n	{1}\n{2}\nTỷ lệ thành công:{0}\n
门派规模	Quy mô môn phái
跟随一个友方角色	Theo dõi một nhân vật đồng minh
正在拼接图片({0})……	Đang ghép nối hình ảnh ({0})...
规划行程	Lên kế hoạch hành trình
CloudSave->开始拉取云存档信息	CloudSave-> Bắt đầu lấy thông tin lưu tệp trên đám mây
阵枢:{0}\n\n	Trận trục: {0}\n\n
加快游戏速度。	Tăng tốc độ trò chơi.
没有空闲的个数	Không có số lượng rảnh rỗi
无法赠送该物品	Không thể tặng vật phẩm này
保存并退出	Lưu và thoát
寨	Trại
极小	Rất nhỏ
思绪碎片：{0}/{1}	Mảnh vỡ suy nghĩ: {0}/{1}
在筑基时突然走神	Trong lúc Trúc Cơ đột nhiên lơ đãng
矿石植被图鉴需要玩家开采来点亮。	Từ điển khoáng thạch và thực vật cần người chơi khai thác để làm sáng.
神识	Thần thức
取消使用	Hủy bỏ sử dụng
选择入定时长	Chọn thời gian nhập định
行商{0}受人所托，愿使用{1}灵石换取一个{2}	Thương nhân {0} được người nhờ vả, nguyện dùng {1} linh thạch đổi lấy một {2}
正在同步存档...	Đang đồng bộ lưu trữ...
\n成熟百分比:{0:N1}%\n	\nPhần trăm trưởng thành: {0:N1}%\n
自身生长速度略快，对周边环境产生略微的负面影响。	Tốc độ sinh trưởng của bản thân hơi nhanh, gây ảnh hưởng tiêu cực nhẹ đến môi trường xung quanh.
蓝图缺少名称无法保存	Thiếu tên bản vẽ, không thể lưu
\n[color=#{1}]{0}房间布局(拥挤程度)[/color]	\n[color=#{1}]{0} Bố trí phòng (mức độ chật chội)[/color]
已转化	Đã chuyển hóa
资源分配选择	Lựa chọn phân phối tài nguyên
将一名弟子完成筑基，并晋升内门	Đưa một đệ tử hoàn thành Trúc Cơ và thăng cấp lên nội môn
{0}\n阵枢：\n　无\n阵眼:\n　无\n[点击编辑配置]	{0}\nTrận trục:\n　Không\nTrận nhãn:\n　Không\n[Nhấn để chỉnh sửa cấu hình]
任务未完成!	Nhiệm vụ chưa hoàn thành!
正专心筑基	Đang tập trung vào Trúc Cơ
我们完成了{0}的任务，他们的长老表示感谢。\n获得了{0}的{1}点好感度。	Chúng ta đã hoàn thành nhiệm vụ của {0}, trưởng lão của họ bày tỏ sự cảm ơn.\nNhận được {1} điểm thiện cảm của {0}.
{0}带来的{1}导致{2}被破坏	{0} mang đến {1} làm {2} bị phá hủy
门派图鉴需要玩家拜山对应的门派来点亮。	Bách khoa môn phái cần người chơi đến bái môn phái tương ứng để làm sáng.
命名阵图	Đặt tên trận đồ
请输入阵图字符串	Vui lòng nhập chuỗi trận đồ
[color=#006B12]{0}后痊愈[/color]	[color=#006B12]{0} sau hồi phục[/color]
工作时仿佛犯冲，正感觉有点生气	Khi làm việc dường như không thuận lợi, đang cảm thấy hơi giận
失败	Thất bại
宫	Cung
隐匿	Ẩn nấp
开智期	Kỳ khai trí
焦虑	Lo lắng
完成奖励：	Phần thưởng hoàn thành:
工作状态	Trạng thái công việc
金属性伤害减免: {0:P3}	Giảm sát thương thuộc tính kim: {0:P3}
加载历史消息	Tải tin nhắn lịch sử
位于{0}的淬炼已经停止。\n[color=#990000]{1}[/color]	Việc luyện tại {0} đã dừng lại.\n[color=#990000]{1}[/color]
房间美观\n房间内的美观程度。	Vẻ đẹp căn phòng\nMức độ thẩm mỹ trong phòng.
由{0}建立的新兴修仙门派，势力强劲且还在成长。	Môn phái tu tiên mới do {0} thành lập, thế lực mạnh mẽ và đang phát triển.
装饰	Trang trí
{0}内容包	{0} gói nội dung
未进行淬体\n在淬体界面进行淬体安排，角色会在修炼时自动进行淬体。\n点击打开淬体界面	Chưa tiến hành tẩy thể\nTrong giao diện tẩy thể tiến hành sắp xếp tẩy thể, nhân vật sẽ tự động tiến hành tẩy thể khi tu luyện.\nBấm để mở giao diện tẩy thể
物资不足	Thiếu vật tư
请修改名称	Vui lòng đổi tên
正在为筑基困扰	Đang gặp khó khăn trong việc trúc cơ
确定要将[{0}]淬炼到[{1}]上吗?	Xác nhận muốn luyện hóa [{0}] vào [{1}] không?
修为到达圆满境后，可直面自身执念而引动信仰天劫。如果度过，则斩却执念，于神国中开辟一块新区域，如若失败，则灰飞烟灭。\n已渡信仰天劫：{0}次	Sau khi tu vi đạt đến viên mãn cảnh, có thể đối mặt với chấp niệm bản thân để dẫn dắt thiên kiếp tín ngưỡng. Nếu vượt qua, sẽ chặt đứt chấp niệm, mở một khu vực mới trong thần quốc, nếu thất bại, sẽ tan thành mây khói. \nĐã vượt qua thiên kiếp tín ngưỡng: {0} lần
攻击穿透: {0:P3}	Xuyên thấu tấn công: {0:P3}
正在一脸不情愿的做饭	Đang nấu ăn với vẻ không tình nguyện
租借法宝	Thuê pháp bảo
取出	Lấy ra
与行商交易。	Giao dịch với thương nhân.
妙法玄机	Diệu pháp huyền cơ
当前额外次数:{0}\n购买妙法宝匣获得额外次数，无次数上限\n使用仙灵妙法时会优先消耗额外次数。	Số lần bổ sung hiện tại: {0}\nMua Bảo Hộp Diệu Pháp để nhận thêm số lần, không giới hạn số lần\nKhi sử dụng Tiên Linh Diệu Pháp sẽ ưu tiên tiêu hao số lần bổ sung.
练习护体	Luyện tập hộ thể
六	Sáu
主存档数量为{0},无法打包	Số lượng lưu tệp chính là {0}, không thể đóng gói
余{0}次/{1}天	Còn lại {0} lần/{1} ngày
模组丢失	Module bị mất
接受传授	Chấp nhận truyền dạy
猫	Mèo
周边	Ngoại vi
提升心境	Tăng cường tâm trạng
运气不错，钓到了一条{0:f1}斤的{1}	Vận may tốt, câu được một con cá {0:f1} cân loại {1}
将物品分裂出一个未鉴定的镇物	Phân tách vật phẩm ra một vật phẩm chưa xác định
吸引他人。	Thu hút người khác.
\n五行不适	\nNgũ hành không phù hợp
[color=#9e6404]相关工作：[/color]\n开采矿石	[color=#9e6404]Công việc liên quan:[/color]\nKhai thác khoáng sản
抱歉，该存档已经不再被支持。但你可以以它为基础轮回新的世界。\n(也可以通过切换游戏分支为0.94使用老版本继续游戏)\n需要轮回吗？\n	Xin lỗi, tệp lưu này không còn được hỗ trợ. Nhưng bạn có thể sử dụng nó làm cơ sở để luân hồi thế giới mới.\n(Cũng có thể chuyển đổi nhánh trò chơi sang phiên bản 0.94 để tiếp tục chơi với phiên bản cũ)\nCó cần luân hồi không?\n
正心无旁骛的做饭中	Đang tập trung nấu ăn
+{0:N2}/秒	+{0:N2}/giây.
可分配{0}人	Có thể phân bổ {0} người
解锁制作：{0}	Mở khóa chế tạo: {0}
{0}\n{1}次思考后遗忘	{0}\nSau {1} lần suy nghĩ thì quên mất
皆可	Đều được
特殊玩法	Chế độ đặc biệt
很好，接下来你需要将后山的寒晶矿开采出来并熔炼成寒晶锭。熔炉就在矿山的旁边。	Tốt lắm, tiếp theo bạn cần khai thác tinh thể lạnh ở núi sau và nấu chảy thành thỏi tinh thể lạnh. Lò nung nằm ngay bên cạnh mỏ.
心绪加成	Tăng cường tâm trạng
阵枢需要一个满足条件的角色主持才可以布阵	Trận trụ cần một nhân vật đủ điều kiện chủ trì để bố trí trận pháp
埋下矿石	Chôn quặng
新衣裤	Quần áo mới.
当前存档与云端文件冲突，请先解决冲突。	Lưu tệp hiện tại xung đột với tệp trên đám mây, vui lòng giải quyết xung đột trước.
{0}{1}经验	{0}{1} kinh nghiệm
无心练习御剑术，正想偷懒	Không tập trung luyện kiếm thuật, đang muốn lười biếng
将这个建筑安装到地上。	Cài đặt công trình này xuống đất.
事件选择	Lựa chọn sự kiện
相关属性	Thuộc tính liên quan
激活雕像以等待灵兽重生	Kích hoạt tượng đá để chờ linh thú tái sinh
坞	Ổ
镇物	Trấn vật.
基础	Cơ bản
正心不在焉的切石作业中	Đang lơ đãng trong công việc cắt đá
阴\n	Âm\n
血量	Máu
{0}{1}级	{0}{1} cấp
巨大	Khổng lồ
大约{0}年前	Khoảng {0} năm trước
正心无旁骛的缝纫作业中	Đang tập trung may vá
神修在心境为“慧”时，心境只有在悟性大于8的情况下才会增加，悟性越高，增加速度越快。反之则会减少。	Thần tu khi tâm cảnh ở trạng thái "Huệ", tâm cảnh chỉ tăng khi sự thông minh lớn hơn 8, càng cao càng tăng nhanh. Ngược lại sẽ giảm.
今天的修行结束，正感觉神完气足	Kết thúc tu luyện hôm nay, đang cảm thấy thần khí sung mãn
心绪：{0:N0}\n所有情绪的绝对值相加，情绪的数量和程度都会提高心绪的复杂程度。心绪也受情绪放大系数影响。\n共五个层次：\n[color=#FFFFFF]■[/color]心咆意哮\n[color=#00c400]■[/color]心猿意马\n[color=#0099cc]■[/color]心念芜杂\n[color=#F700FF]■[/color]心宁气静\n[color=#FF8B00]■[/color]心如止水	Tâm trạng: {0:N0}\nTổng giá trị tuyệt đối của tất cả cảm xúc, số lượng và mức độ cảm xúc đều sẽ tăng độ phức tạp của tâm trạng. Tâm trạng cũng bị ảnh hưởng bởi hệ số khuếch đại cảm xúc.\nCó năm cấp độ:\n[color=#FFFFFF]■[/color] Tâm bão ý cuồng\n[color=#00c400]■[/color] Tâm viên ý mã\n[color=#0099cc]■[/color] Tâm niệm vô tạp\n[color=#F700FF]■[/color] Tâm bình khí tĩnh\n[color=#FF8B00]■[/color] Tâm như chỉ thủy
妖族变换形态。	Yêu tộc biến đổi hình dạng.
靛蓝布	Vải chàm
在锻造间余，刚小憩片刻	Trong lúc rèn luyện, vừa nghỉ ngơi một chút
残缺阵图，无法布阵	Bản đồ trận pháp bị thiếu, không thể bố trận
正专心锻造	Đang tập trung rèn luyện
门派任务	Nhiệm vụ môn phái
请输入阵图名字	Vui lòng nhập tên bản đồ trận
对自身身体了解掌控的能力，影响淬体效率，淬体时出现有效进化的概率。在凡人阶段的岐黄技能会一定程度上影响该值。	Khả năng hiểu và kiểm soát cơ thể của bản thân, ảnh hưởng đến hiệu suất luyện thể, xác suất tiến hóa hiệu quả khi luyện thể. Kỹ năng Kỳ Hoàng ở giai đoạn phàm nhân sẽ ảnh hưởng đến giá trị này ở một mức độ nhất định.
拍照模式	Chế độ chụp ảnh
当前装备命令太多	Lệnh trang bị hiện tại quá nhiều
\n兽形态下无法突破瓶颈	\nKhông thể đột phá bình cảnh trong hình thái thú
通知配置	Cấu hình thông báo
覆盖	Ghi đè
\n境界不够：{0}	\nCảnh giới không đủ: {0}
{0}{1}  {2}经验\n	{0}{1}  {2} kinh nghiệm\n
远离炉灶	Tránh xa bếp lò
参玄悟妙	Tham huyền ngộ diệu
坐东朝西	Hướng đông nhìn về tây
炼丹相关	Liên quan đến luyện đan
因神国中神民怨念累积到100%而产生的信仰天劫。如果度过，则使怨念清零，如若失败，则灰飞烟灭。\n已渡信仰天劫：{0}次	Kiếp nạn tín ngưỡng sinh ra do oán niệm của thần dân trong thần quốc tích lũy đến 100%. Nếu vượt qua, oán niệm sẽ về 0, nếu thất bại, sẽ hóa thành tro bụi.\nĐã vượt qua kiếp nạn tín ngưỡng: {0} lần
可提高灵宠锻炼的效果以及解锁更多行为。	Có thể tăng hiệu quả luyện tập linh thú cũng như mở khóa thêm nhiều hành vi.
该物品不能被灵淬了	Vật phẩm này không thể được linh tẩy
{0}\n{2}\n{1:N0}岁\n{3}	{0}\n{2}\n{1:N0} tuổi\n{3}
Lua回调类名	Tên lớp Lua callback
外门杂物	Tạp vật ngoại môn.
[点击配置阵法]	[Nhấp để cấu hình trận pháp]
轮回书	Sách luân hồi
返回主菜单	Quay lại menu chính
激活	Kích hoạt
重载PlaceDefs	Tải lại PlaceDefs
订阅最多	Được đăng ký nhiều nhất
享用:{0}	Thưởng thức: {0}.
正在修复第{0}个文件\n{1}	Đang sửa chữa tệp thứ {0}\n{1}
施展神通的次数	Số lần thi triển thần thông
[color=#ff0000]游戏速度[/color]是一项重要功能，你可以通过屏幕右下方的按钮来调整游戏速度。\n[color=#9e6404]可以点击暂停按钮进行暂停，暂停状态下也可以正常发布命令[/color]	[color=#ff0000]Tốc độ trò chơi[/color] là một tính năng quan trọng, bạn có thể điều chỉnh tốc độ trò chơi bằng nút ở góc dưới bên phải màn hình.\n[color=#9e6404]Có thể nhấn nút tạm dừng để tạm dừng, trong trạng thái tạm dừng vẫn có thể bình thường ra lệnh[/color]
魔门巨擘	Đại nhân ma môn
影响灵宠的术法威力和灵气消耗。	Ảnh hưởng đến sức mạnh thuật pháp và tiêu hao linh khí của linh thú.
该区域此类建筑已达上限	Loại công trình này trong khu vực đã đạt giới hạn
需要放入3个思绪才能合成灵智碎片	Cần đặt 3 Tư tưởng mới có thể hợp thành mảnh Linh trí
{0}\n升级条件：\n{1}	{0}\nĐiều kiện nâng cấp:\n{1}
任人宰割	Mặc cho người khác chém giết
百	Trăm
可从以下地点进入：{0}	Có thể vào từ các địa điểm sau: {0}
赶路时略感疲惫，正准备歇一歇脚	Cảm thấy hơi mệt khi đi đường, đang chuẩn bị nghỉ chân
打磨	Đánh bóng
未获得通行权，贸然进入将会受到攻击	Không được cấp quyền, tự ý xâm nhập sẽ bị tấn công
选择后缀	Chọn hậu tố
生成全景图片需要一定的时间，请不要移动鼠标并耐心等待直到提示完成。	Việc tạo ảnh toàn cảnh cần một thời gian nhất định, vui lòng không di chuyển chuột và kiên nhẫn chờ đợi cho đến khi có thông báo hoàn thành.
[{1}]\n{2}\n需要参悟值：{0:F0}	[{1}]\n{2}\nCần giá trị cảm ngộ: {0:F0}
{0}没有对应的装备槽位了	{0} không có vị trí trang bị tương ứng
读取存档文件	Đọc tệp lưu trữ
凡人不轻信他人，甚至纷纷逃离。只能收集到怨念。	Phàm nhân không dễ tin người, thậm chí bỏ chạy. Chỉ có thể thu thập oán niệm.
皮毛布料	Lông và vải
吉	Cát
地点图鉴需要玩家前往目标地点历练来点亮。	Bách khoa địa điểm cần người chơi đến địa điểm mục tiêu để rèn luyện làm sáng.
似乎随便画画就可以得到神奇的结果。	Có vẻ chỉ cần vẽ linh tinh cũng có thể tạo ra kết quả thần kỳ.
蓝图说明：\n	Mô tả bản vẽ:\n
在建筑工作时，正累的气喘吁吁	Trong lúc làm việc xây dựng, mệt đến thở hổn hển
召回圣物	Triệu hồi thánh vật
{0}颗	{0} viên
{0:N1}米	{0:N1} mét
时间：{0}	Thời gian: {0}
思	Suy nghĩ
攻击命中: {0:P3}	Độ chính xác tấn công: {0:P3}
新灵智碎片	Mảnh linh trí mới
查看难度	Xem độ khó
蓝图丢失	Bản vẽ bị mất
删除特殊效果	Xóa hiệu ứng đặc biệt
参与者	Người tham gia
请选择合适的内门弟子	Vui lòng chọn đệ tử nội môn phù hợp
====触发太易天道触发成功	====Kích hoạt thành công Thiên Đạo Thái Dịch
防御坚韧\n此秘体承受攻击时抵抗伤害的程度。	Phòng thủ kiên cố\nThể bí mật này chịu đựng tấn công sẽ chống đỡ mức độ sát thương.
女人	Phụ nữ
{0}人	{0} người
过去三天行为数量：	Số lượng hành vi trong ba ngày qua:
神秘大能	Đại năng thần bí
结丹时的阴阳偏向对丹品的影响。\n在五行属性中，火木属阳性，在白天得到加成；金水属阴性，在夜晚得到加成；土则需要阴阳均衡。	Sự lệch âm dương khi kết đan ảnh hưởng đến phẩm chất đan.\nTrong thuộc tính ngũ hành, hỏa mộc thuộc dương tính, được tăng cường vào ban ngày; kim thủy thuộc âm tính, được tăng cường vào ban đêm; thổ thì cần cân bằng âm dương.
分配回门派	Phân công trở về môn phái
远离祖师牌位	Xa rời bài vị tổ sư
无法指定该角色	Không thể chỉ định nhân vật này
请先启用任意天道！	Vui lòng kích hoạt một thiên đạo bất kỳ trước!
灵植影响范围	Phạm vi ảnh hưởng linh thực
