Key	Value
[NAME]身上并没携带此物。	[NAME] trên người không mang theo vật này.
[NAME]收起飞剑，落下云端。走到近处，才发现这是一群{0}的内门弟子在用化血大阵收取冤魂练功，只是这座城池太大，进度甚为缓慢。\n[NAME]念头一动，却起了更大的贪意。他上前表明可以帮助，只是需要分润一些好处。{0}的弟子略一沉吟答应了你的请求。然而在众人合力施法即将功成时，[NAME]却突然出手，将{0}的几名弟子打入阵中。大阵运转之下，其中活物无一幸免。[NAME]搜刮了{0}的几名弟子的全部珍藏，独吞了全部的好处，修为大进。	[NAME] thu hồi phi kiếm, hạ xuống từ mây. Khi đến gần, anh ta phát hiện đây là một nhóm đệ tử nội môn của {0} đang sử dụng trận pháp Hóa Huyết để thu thập oan hồn luyện công, nhưng do thành trì quá lớn nên tiến độ rất chậm.<br>[NAME] nảy sinh lòng tham lớn hơn. Anh ta tiến lên bày tỏ ý định giúp đỡ, nhưng yêu cầu chia sẻ một phần lợi ích. Các đệ tử của {0} suy nghĩ một chút rồi đồng ý yêu cầu của bạn. Tuy nhiên, khi mọi người hợp lực thi pháp sắp thành công, [NAME] bất ngờ ra tay, đẩy vài đệ tử của {0} vào trận pháp. Dưới sự vận hành của trận pháp, tất cả sinh vật sống đều không thoát khỏi cái chết. [NAME] cướp sạch bảo vật của các đệ tử {0}, độc chiếm toàn bộ lợi ích và tu vi tăng tiến vượt bậc.
[NAME]收起飞剑，落下云端。走到近处，才发现这是一群{0}的内门弟子在用化血大阵收取冤魂练功，只是这座城池太大，进度甚为缓慢。\n[NAME]念头一动，却起了更大的贪意。他上前表明可以帮助，只是需要分润一些好处。{0}的弟子略一沉吟答应了你的请求。然而在众人合力施法即将功成时，[NAME]却突然出手，试图将{0}的几名弟子打入阵中。\n然而{0}的这几名弟子也不是省油的灯，他们也早已心怀歹意，在你动手的时候，他们趁势逆转阵法，强烈的反噬将将[NAME]重创，[NAME]侥幸脱身，但还是身受重伤，功力大损。	[NAME] thu hồi phi kiếm, hạ xuống từ mây. Khi đến gần, anh ta phát hiện đây là một nhóm đệ tử nội môn của {0} đang sử dụng trận pháp Hóa Huyết để thu thập oan hồn luyện công, nhưng do thành trì quá lớn nên tiến độ rất chậm.<br>[NAME] nảy sinh lòng tham lớn hơn. Anh ta tiến lên bày tỏ ý định giúp đỡ, nhưng yêu cầu chia sẻ một phần lợi ích. Các đệ tử của {0} suy nghĩ một chút rồi đồng ý yêu cầu của bạn. Tuy nhiên, khi mọi người hợp lực thi pháp sắp thành công, [NAME] bất ngờ ra tay, cố gắng đẩy vài đệ tử của {0} vào trận pháp.<br>Nhưng các đệ tử của {0} cũng không phải hạng tầm thường, họ vốn đã có ý đồ xấu. Khi bạn ra tay, họ đảo ngược trận pháp, gây phản phệ mạnh mẽ khiến [NAME] bị trọng thương. Dù may mắn thoát thân, nhưng [NAME] bị thương nặng, công lực tổn hại nghiêm trọng.
[NAME]参与法会，观摩诸位大能论道，获益匪浅！	[NAME] tham gia pháp hội, quan sát các đại năng luận đạo, gặt hái không ít lợi ích!
台上演法到激烈之处，[NAME]灵感一闪，竟然还领悟了一门秘籍！	Trên đài pháp khi đến lúc kịch liệt, [NAME] bất ngờ nảy ra linh cảm, lĩnh ngộ được một bộ bí kíp!
[NAME]敏锐的捕捉到了那一丝灵光，盘膝而坐，自丹霞绝壁的奇景中参悟出一套心法。	[NAME] nhạy bén nắm bắt được tia linh quang, ngồi xếp bằng, từ kỳ cảnh tuyệt bích Đan Hà mà lĩnh ngộ được một bộ tâm pháp.
[NAME]苦苦思索，但是始终无法抓住那一闪而逝的灵光，只得无奈离去。	[NAME] suy nghĩ mãi nhưng vẫn không thể nắm bắt được tia linh quang thoáng qua, đành bất lực rời đi.
[NAME]欣赏了这罕见的奇景，随后离开了此地。	[NAME] thưởng ngoạn cảnh sắc hiếm có này một lúc, sau đó rời khỏi nơi đây.
[NAME]惊怒交加，御剑赶了过去，发现这是一群{0}的邪魔布下化血大阵收人生魂，修炼魔功。\n[NAME]眼见情况紧急，来不及多想，运起全身功力轰破阵眼。{0}的弟子受阵法反噬，纷纷受伤，勃然大怒。放出性命交修的法宝向[NAME]攻来。\n[NAME]含怒出手，毫不容情，不消的几个回合便将敌手尽数诛杀，拯救了这个城镇的凡人。	[NAME] vừa kinh hãi vừa phẫn nộ, cưỡi kiếm lao đến, phát hiện đây là một nhóm tà ma của {0} dựng lên trận pháp Hóa Huyết để thu thập hồn người, luyện ma công.<br>[NAME] thấy tình hình nguy cấp, không kịp suy nghĩ, vận dụng toàn bộ công lực phá hủy trận nhãn. Các đệ tử của {0} bị trận pháp phản phệ, đồng loạt bị thương, giận dữ tột độ. Họ thả ra pháp bảo chí mạng tấn công [NAME].<br>[NAME] ra tay trong cơn giận, không chút nương tay, chỉ trong vài hiệp đã tiêu diệt toàn bộ kẻ địch, cứu sống dân thường trong thành.
[NAME]惊怒交加，御剑赶了过去，发现这是一群{0}的邪魔布下化血大阵收人生魂，修炼魔功。\n[NAME]眼见情况紧急，来不及多想，运起全身功力轰破阵眼。{0}的弟子受阵法反噬，纷纷受伤，又被[NAME]坏了大事，勃然大怒，各自放出性命交修的法宝向[NAME]攻来。\n双方苦斗半日，[NAME]渐渐感到真气不济，暗暗叫苦。敌人却仿佛看穿了[NAME]的窘境，合力一击击碎了[NAME]的护体真气。[NAME]鲜血狂喷，勉强护住心脉，逃离战场。	[NAME] vừa kinh hãi vừa phẫn nộ, cưỡi kiếm lao đến, phát hiện đây là một nhóm tà ma của {0} dựng lên trận pháp Hóa Huyết để thu thập hồn người, luyện ma công.<br>[NAME] thấy tình hình nguy cấp, không kịp suy nghĩ, vận dụng toàn bộ công lực phá hủy trận nhãn. Các đệ tử của {0} bị trận pháp phản phệ, đồng loạt bị thương, lại bị [NAME] phá hỏng đại sự, giận dữ tột độ, đồng loạt thả ra pháp bảo chí mạng tấn công [NAME].<br>Hai bên giao chiến suốt nửa ngày, [NAME] dần cảm thấy chân khí cạn kiệt, thầm kêu khổ. Kẻ địch dường như nhận ra tình thế khó khăn của [NAME], hợp lực tung một đòn phá vỡ chân khí hộ thể của anh ta. [NAME] phun máu tươi, cố gắng bảo vệ tâm mạch, thoát khỏi chiến trường.
[NAME]神游之间，突然冥冥之中闪过一道灵光，眼前翻涌的云雾似乎形成一道神奇的轨迹。[NAME]凝神细看，却发现这道轨迹缺多有残缺，无法识别。[NAME]只得将这纹理记下来，带回了门派。	Trong lúc thần du, [NAME] đột nhiên xuất hiện một tia linh quang trong tâm trí, màn sương mù cuộn trào trước mắt dường như hình thành một quỹ đạo thần kỳ. [NAME] tập trung quan sát, nhưng phát hiện quỹ đạo này có nhiều chỗ bị thiếu sót, không thể nhận biết được. [NAME] đành ghi lại những đường nét này, mang về môn phái.
[NAME]虽仅有金丹修为，但其对炼器一道的独到理解却折服在场诸多高人，最终被选为优胜，名动天下。	Mặc dù chỉ có tu vi Kim Đan, nhưng nhờ sự hiểu biết độc đáo về đạo luyện khí, [NAME] đã thuyết phục được nhiều cao nhân tại đó, cuối cùng được chọn làm người chiến thắng, danh động thiên hạ.
真·昆仑神匠	Chân·Côn Lôn Thần Tượng.
第%s年，以金丹修为于昆仑法会炼宝优胜！	Năm thứ %s, với tu vi Kim Đan, giành chiến thắng tại Pháp Hội Côn Lôn trong lĩnh vực luyện bảo!
[NAME]展示出在炼器之道上高超的理解，并折服诸多与会之人，拔得头筹，名声大振。	[NAME] thể hiện sự hiểu biết vượt trội về đạo luyện khí, thuyết phục được nhiều người tham dự và giành ngôi đầu, danh tiếng vang dội.
昆仑神匠	Côn Lôn Thần Tượng.
第%s年，昆仑法会炼宝优胜！	Năm thứ %s, giành chiến thắng tại Pháp Hội Côn Lôn trong lĩnh vực luyện bảo!
[NAME]虽然精通炼器之术，但是却在构思上略输一筹，最终遗憾出局。虽然如此，[NAME]也获益匪浅，并为宗门争取了不少名声。	[NAME] mặc dù tinh thông thuật luyện khí, nhưng lại thua kém một chút trong ý tưởng, cuối cùng tiếc nuối bị loại. Mặc dù vậy, [NAME] cũng gặt hái được nhiều lợi ích, đồng thời mang lại không ít danh tiếng cho tông môn.
[NAME]神游之间，突然冥冥之中闪过一道灵光，眼前翻涌的云雾似乎形成一道神奇的轨迹。[NAME]凝神细看，发现这道轨迹与凤栖崖梧桐木上的痕迹似乎可以互补。\n[NAME]尝试将两套纹理拼合，竟然从中悟出一套秘法。	Trong lúc thần du, [NAME] đột nhiên xuất hiện một tia linh quang trong tâm trí, màn sương mù cuộn trào trước mắt dường như hình thành một quỹ đạo thần kỳ. [NAME] tập trung quan sát, phát hiện quỹ đạo này dường như có thể bổ sung cho dấu vết trên ngô đồng thần mộc ở Phượng Tê Nhai. [NAME] thử ghép hai bộ đường nét này lại với nhau, bất ngờ lĩnh ngộ được một bộ bí pháp.
[NAME]试图参与炼宝大会，然而他在炼器之道上造诣不足，惨被淘汰。虽然无望仙缘，[NAME]依然在这个过程中感悟良多，获益匪浅。	[NAME] cố gắng tham gia đại hội luyện bảo, nhưng do kiến thức về đạo luyện khí không đủ, bị loại thảm bại. Dù không đạt được tiên duyên, [NAME] vẫn cảm ngộ được nhiều điều và gặt hái không ít lợi ích.
[NAME]欣赏了一会这里的景色，随后离开了此地。	[NAME] thưởng ngoạn cảnh sắc nơi đây một lúc, sau đó rời khỏi.
{0}想了想，仅仅依靠口舌并不能挽救众生。	{0} nghĩ ngợi, nhận ra rằng chỉ dựa vào lời nói không thể cứu rỗi chúng sinh.
{0}说：“纵欲则糜，无欲则刚。”例行割去了受戒弟子的头发，以示众人。	{0} nói: "Tham dục thì suy đồi, không dục thì vững vàng." Theo lệ cắt tóc của đệ tử thụ giới để làm gương cho mọi người.
{0}想了想，好像没啥关系。	{0} nghĩ ngợi, cảm thấy dường như không có liên quan gì.
[NAME]神游之间，突然发现眼前梧桐木上的纹理似乎并非天然生成，细看之下，却发现似乎残缺了一半，无法识别。[NAME]只得将这纹理记下来，带回了门派。	Trong lúc thần du, [NAME] đột nhiên phát hiện các hoa văn trên ngô đồng thần mộc trước mắt dường như không phải tự nhiên mà thành. Quan sát kỹ hơn, [NAME] nhận ra dường như thiếu đi một nửa, không thể nhận biết được. [NAME] đành ghi lại những hoa văn này, mang về môn phái.
[NAME]神游之间，突然发现眼前梧桐木上的纹理似乎并非天然生成。[NAME]凝神细看，发现这些纹理与潜龙渊云海中的轨迹似乎可以互补。\n[NAME]尝试将两套纹理拼合，竟然从中悟出一套秘法。	Trong lúc thần du, [NAME] đột nhiên phát hiện các hoa văn trên ngô đồng thần mộc trước mắt dường như không phải tự nhiên mà thành. [NAME] tập trung quan sát, phát hiện những hoa văn này dường như có thể bổ sung cho quỹ đạo trong biển mây ở Tiềm Long Uyên. [NAME] thử ghép hai bộ hoa văn lại với nhau, bất ngờ lĩnh ngộ được một bộ bí pháp.
[NAME]虽仅有金丹修为，但其对炼器一道的独到理解却折服在场诸多高人，最终被选为优胜，名动天下。因[NAME]宗门已有《己寅九冲多宝真解》传承，此次优胜便选择了一柄玉虚宫珍藏的神器作为奖励。	Mặc dù chỉ có tu vi Kim Đan, nhưng nhờ sự hiểu biết độc đáo về đạo luyện khí, [NAME] đã thuyết phục được nhiều cao nhân tại đó, cuối cùng được chọn làm người chiến thắng, danh động thiên hạ. Vì tông môn của [NAME] đã có truyền thừa "Kỷ Dần Cửu Xung Đa Bảo Chân Giải", lần này chiến thắng liền chọn một món thần khí được cất giữ tại Ngọc Hư Cung làm phần thưởng.
玉虚宫中珍藏的上古神器，来历不明。	Thần khí thượng cổ được cất giữ tại Ngọc Hư Cung, lai lịch không rõ.
[NAME]展示出在炼器之道上高超的理解，并折服诸多与会之人，拔得头筹，名声大振。因[NAME]宗门已有《己寅九冲多宝真解》传承，此次优胜便选择了一柄玉虚宫珍藏的神器作为奖励。	[NAME] thể hiện sự hiểu biết vượt trội về đạo luyện khí, thuyết phục được nhiều người tham dự và giành ngôi đầu, danh tiếng vang dội. Vì tông môn của [NAME] đã có truyền thừa "Kỷ Dần Cửu Xung Đa Bảo Chân Giải", lần này chiến thắng liền chọn một món thần khí được cất giữ tại Ngọc Hư Cung làm phần thưởng.
[NAME]突然心有所感，[IT]闭目凝神，竟然将这飞瀑千钧冲击之势化入剑法之中，领悟出一套绵绵不绝的剑势。	[NAME] đột nhiên có linh cảm, nhắm mắt tập trung, bất ngờ dung hòa thế nước cuồn cuộn của thác nước ngàn cân vào kiếm pháp, lĩnh ngộ được một bộ kiếm thế liên miên không dứt.
[NAME]突然心有所感，[IT]闭目凝神，竟然将这飞瀑绵绵不绝之势融入自身气脉运转之中，领悟出一套悠久绵长的吐纳之术。	[NAME] đột nhiên có linh cảm, nhắm mắt tập trung, bất ngờ dung hòa thế nước liên miên bất tận của thác nước vào vận hành khí mạch trong cơ thể, lĩnh ngộ được một bộ thuật thở dài lâu.
{0}想了想，此时不需要武力之戒。	{0} nghĩ ngợi, nhận ra lúc này không cần đến giới võ lực.
{0}举行了色戒的仪式，号召凡人不要沉迷声色，否则等于自取灭亡。	{0} tổ chức nghi thức giới sắc, kêu gọi người phàm không đắm chìm trong sắc dục, nếu không sẽ tự chuốc lấy diệt vong.
凡人都感觉内心有愧，纷纷赞同。	Người phàm đều cảm thấy trong lòng hổ thẹn, lần lượt đồng tình.
凡人并未感受到{0}的威慑力，纷纷离去。	Người phàm không cảm nhận được uy lực của {0}, lần lượt bỏ đi.
{0}想了想，此时不需要文思之戒。	{0} nghĩ ngợi, nhận ra lúc này không cần đến giới văn tư.
{0}想了想，此时不需要进行食戒。	{0} nghĩ ngợi, nhận ra lúc này không cần đến giới thực.
[NAME]发现洞口的纹理似乎和《太上忘情道》扉页上所画的代表极天宫的符号有些相似，但又有许多不同。[NAME]以各种手法试探这些符号，但毫无结果，只能离去。	[NAME] phát hiện các hoa văn ở cửa động dường như có chút tương đồng với ký hiệu đại diện cho Cực Thiên Cung trên trang bìa của "Thái Thượng Vong Tình Đạo", nhưng cũng có nhiều điểm khác biệt. [NAME] thử nghiệm các phương pháp khác nhau với những ký hiệu này nhưng không có kết quả, đành rời đi.
[NAME]对此处的探索毫无头绪，只得离去。	[NAME] không tìm được đầu mối nào trong việc thăm dò nơi đây, đành rời đi.
[NAME]赶了过去，发现是{0}的内门弟子正在围剿一群邪派弟子。\n虽同为邪道，[NAME]却与{1}的这几名弟子早有私怨。他狞笑两声，毫无声息的向这帮{1}的弟子发动偷袭。由于毫无防备，[NAME]一招就重创对方数人\n双方本来势均力敌，[NAME]的偷袭使得{1}迅速溃败，[NAME]放开手脚，大杀特杀，将这群{1}的弟子全歼当场。不过[NAME]不欲与正道纠缠，搜了几个无主的宝物便迅速离去。	[NAME] chạy đến, phát hiện là đệ tử nội môn của {0} đang vây đánh một nhóm đệ tử tà đạo. <br> Dù cùng là tà đạo, nhưng [NAME] đã có thâm thù với vài đệ tử của {1}. Hắn cười nham hiểm hai tiếng, lặng lẽ tấn công bất ngờ vào nhóm đệ tử của {1}. Do không phòng bị, [NAME] một chiêu đã trọng thương nhiều người bên đối phương. <br> Hai bên vốn dĩ ngang sức, nhưng sự tấn công bất ngờ của [NAME] khiến {1} nhanh chóng tan rã, [NAME] thả sức tấn công, tiêu diệt toàn bộ nhóm đệ tử của {1} ngay tại chỗ. Tuy nhiên, [NAME] không muốn dây dưa với chính đạo, đã lục lọi vài bảo vật không chủ rồi nhanh chóng rời đi.
[NAME]虽仅有金丹修为，但其对炼丹一道的独到理解却折服在场诸多高人，最终被选为优胜，名动天下。	Mặc dù chỉ có tu vi Kim Đan, nhưng nhờ sự hiểu biết độc đáo về đạo luyện đan, [NAME] đã thuyết phục được nhiều cao nhân tại đó, cuối cùng được chọn làm người chiến thắng, danh động thiên hạ.
真·昆仑药圣	Chân·Côn Lôn Dược Thánh.
第%s年，以金丹修为于昆仑法会丹会优胜！	Năm thứ %s, với tu vi Kim Đan, giành chiến thắng tại Pháp Hội Côn Lôn trong lĩnh vực luyện đan!
[NAME]展示出在炼丹之道上高超的理解，并折服诸多与会之人，拔得头筹，名声大振。	[NAME] thể hiện sự hiểu biết vượt trội về đạo luyện đan, thuyết phục được nhiều người tham dự và giành ngôi đầu, danh tiếng vang dội.
昆仑药圣	Côn Lôn Dược Thánh.
第%s年，昆仑法会丹会优胜！	Năm thứ %s, giành chiến thắng tại Pháp Hội Côn Lôn trong lĩnh vực luyện đan!
[NAME]虽然精通炼丹之术，但是却在控制火候时略微分心，最终遗憾出局。虽然如此，[NAME]也获益匪浅，并为宗门争取了不少名声。	[NAME] mặc dù tinh thông thuật luyện đan, nhưng lại mất tập trung khi kiểm soát lửa, cuối cùng tiếc nuối bị loại. Mặc dù vậy, [NAME] cũng gặt hái được nhiều lợi ích, đồng thời mang lại không ít danh tiếng cho tông môn.
[NAME]试图参与瑶池丹会，然而他在炼丹之道上的造诣不足，惨被淘汰。虽然无望仙缘，[NAME]依然在这个过程中感悟良多，获益匪浅。	[NAME] cố gắng tham gia Hội Đan Dao Trì, nhưng do kiến thức về đạo luyện đan không đủ, bị loại thảm bại. Dù không đạt được tiên duyên, [NAME] vẫn cảm ngộ được nhiều điều và gặt hái không ít lợi ích.
[NAME]仔细参悟石壁，发现这些石壁上的图形，与《太上忘情道》的运功路线同源同理。	[NAME] cẩn thận lĩnh hội các đồ hình trên vách đá, phát hiện chúng có cùng nguồn gốc và nguyên lý với lộ tuyến vận công trong "Thái Thượng Vong Tình Đạo".
[NAME]仔细体悟，对照自己对功法的理解，大有领悟！	[NAME] cẩn thận cảm nhận, đối chiếu với sự hiểu biết về công pháp của bản thân, đạt được nhiều lĩnh ngộ!
[NAME]仔细参悟石壁，虽然大多数无法看懂，但触类旁通之下，还是大有感悟！。	[NAME] cẩn thận lĩnh hội các đồ hình trên vách đá, dù phần lớn không thể hiểu được, nhưng nhờ suy luận tương tự mà đạt được nhiều cảm ngộ!
[NAME]仔细调查石壁，隐隐之间察觉到石壁上的符号似乎隐藏着什么信息。但是[NAME]却始终抓不到那一丝灵感，只得作罢。	[NAME] cẩn thận điều tra vách đá, mơ hồ nhận ra rằng các ký hiệu trên vách đá dường như ẩn chứa thông tin nào đó. Nhưng [NAME] mãi không thể nắm bắt được chút cảm hứng ấy, đành phải từ bỏ.
[NAME]看着石壁上天然生成的纹路，不禁再次感慨造化神奇。	[NAME] nhìn vào các đường vân tự nhiên trên vách đá, không khỏi cảm thán sự kỳ diệu của tạo hóa.
[NAME]发现造化玉籽已经凝结，于是按照秘法将其采集下来。	[NAME] phát hiện Ngọc Tử Tạo Hóa đã ngưng kết, liền thu thập nó theo bí pháp.
[NAME]发现一年之期未满，造化玉籽并未凝结。只得离去。	[NAME] phát hiện kỳ hạn một năm chưa hết, Cơ Năng Hoạt Hóa chưa ngưng tụ. Đành phải rời đi.
[NAME]决定离开此地。	[NAME] quyết định rời khỏi nơi đây.
{0}想了想，此时不需要进行色戒仪式。	{0} nghĩ ngợi, nhận ra lúc này không cần tổ chức nghi thức giới sắc.
{0}想了想，此时不需要文思之戒	{0} nghĩ ngợi, nhận ra lúc này không cần đến giới văn tư.
{0}举行了食戒仪式，号召凡人过午不食，清心寡欲。	{0} tổ chức nghi thức giới thực, kêu gọi người phàm không ăn sau giờ ngọ, giữ tâm thanh tịnh, ít dục vọng.
[NAME]虽仅有金丹修为，但其对炼丹一道的独到理解却折服在场诸多高人，最终被选为优胜，名动天下。因[NAME]宗门已有《九转金丹直指》传承，此次优胜便选择了一葫芦玉虚宫珍藏的造化神丹作为奖励。	Mặc dù chỉ có tu vi Kim Đan, nhưng nhờ sự hiểu biết độc đáo về đạo luyện đan, [NAME] đã thuyết phục được nhiều cao nhân tại đó, cuối cùng được chọn làm người chiến thắng, danh động thiên hạ. Vì tông môn của [NAME] đã có truyền thừa "Cửu Chuyển Kim Đan Trực Chỉ", lần này chiến thắng liền chọn một hồ lô Tạo Hóa Thần Đan được cất giữ tại Ngọc Hư Cung làm phần thưởng.
[NAME]展示出在炼丹之道上高超的理解，并折服诸多与会之人，拔得头筹，名声大振。因[NAME]宗门已有《九转金丹直指》传承，此次优胜便选择了一葫芦玉虚宫珍藏的造化神丹作为奖励。	[NAME] thể hiện sự hiểu biết vượt trội về đạo luyện đan, thuyết phục được nhiều người tham dự và giành ngôi đầu, danh tiếng vang dội. Vì tông môn của [NAME] đã có truyền thừa "Cửu Chuyển Kim Đan Trực Chỉ", lần này chiến thắng liền chọn một hồ lô Tạo Hóa Thần Đan được cất giữ tại Ngọc Hư Cung làm phần thưởng.
[NAME]来到龙台遗迹，一番找寻之下，竟然真的找到一些宝物。	[NAME] đến di tích Long Đài, sau một hồi tìm kiếm, bất ngờ tìm được một số bảo vật.
[NAME]来到龙台遗迹，试图寻找一些机缘。然而一时不慎，竟然误入上古龙族的陷阱。	[NAME] đến di tích Long Đài, cố gắng tìm kiếm cơ duyên. Tuy nhiên, do bất cẩn, [NAME] đã lạc vào bẫy của Long Tộc cổ đại.
[NAME]使尽浑身解数，才逃了性命。	[NAME] dốc hết sức lực mới thoát khỏi hiểm cảnh.
龙穴禁制	Long huyệt cấm chế
[NAME]来到仙魔战场，一番找寻之下，竟然真的找到一些宝物。	[NAME] đến chiến trường Tiên Ma, sau một hồi tìm kiếm, bất ngờ tìm được một số bảo vật.
[NAME]来到仙魔战场，试图寻找一些机缘。然而一时不慎，竟然陷入一块破碎的时空破片中。	[NAME] đến chiến trường Tiên Ma, cố gắng tìm kiếm cơ duyên. Tuy nhiên, do bất cẩn, [NAME] đã rơi vào một mảnh không gian thời gian bị vỡ.
时空破片中时间流逝异常，虽然外界不过短短一炷香时间，[NAME]已经在其中挣扎了%s年才脱身而出。	Trong mảnh không gian thời gian bị vỡ, dòng chảy thời gian bất thường. Dù bên ngoài chỉ qua một nén nhang, nhưng [NAME] đã phải vật lộn trong đó %s năm mới thoát ra được.
[NAME]赶了过去，发现是{1}的内门弟子正在围剿一群正派。\n虽同为正道，[NAME]却与{0}的这几名弟子早有私怨。他偷偷运转法宝，毫无声息的向这帮{0}的弟子发动偷袭。由于毫无防备，[NAME]一招就重创对方数人\n双方本来势均力敌，[NAME]的偷袭使得{0}迅速溃败，[NAME]看局面必死，也没有现出身形，搜了几个无主的宝物便迅速离去。	[NAME] chạy đến, phát hiện là đệ tử nội môn của {1} đang vây đánh một nhóm chính phái. <br> Dù cùng là chính đạo, nhưng [NAME] đã có thâm thù với vài đệ tử của {0}. Hắn lén lút vận chuyển pháp bảo, lặng lẽ tấn công bất ngờ vào nhóm đệ tử của {0}. Do không phòng bị, [NAME] một chiêu đã trọng thương nhiều người bên đối phương. <br> Hai bên vốn dĩ ngang sức, nhưng sự tấn công bất ngờ của [NAME] khiến {0} nhanh chóng tan rã, [NAME] thấy tình hình chắc chắn sẽ chết, cũng không hiện thân, đã lục lọi vài bảo vật không chủ rồi nhanh chóng rời đi.
[NAME]赶了过去，发现是{1}的内门弟子正在围剿一群正派弟子。\n虽同为正道，[NAME]却与{0}的这几名弟子早有私怨。他偷偷运转法宝，毫无声息的向这帮{0}的弟子发动偷袭。但是由于[NAME]修为太低，他的偷袭却被早早识破，反而暴露了自己的身形。\n{0}的弟子对你的偷袭感到异常震怒，他们甚至拼着受伤，向[NAME]施展出{0}的镇派绝杀，将之狠狠重创。[NAME]偷鸡不成蚀把米，慌不择路的逃离战场。	[NAME] chạy đến, phát hiện là đệ tử nội môn của {1} đang vây đánh một nhóm đệ tử chính phái. <br> Dù cùng là chính đạo, nhưng [NAME] đã có thâm thù với vài đệ tử của {0}. Hắn lén lút vận chuyển pháp bảo, lặng lẽ tấn công bất ngờ vào nhóm đệ tử của {0}. Nhưng do [NAME] tu vi quá thấp, nên sự tấn công bất ngờ của hắn đã bị phát hiện sớm, ngược lại còn để lộ thân hình của mình. <br> Đệ tử của {0} cảm thấy vô cùng tức giận với sự tấn công bất ngờ của ngươi, họ thậm chí liều mình bị thương, thi triển tuyệt chiêu của {0} để đánh mạnh vào [NAME]. [NAME] không thành công trong việc trộm gà, ngược lại còn mất cả nắm gạo, hoảng hốt chạy trốn khỏi chiến trường.
借着绝杀余威，[SCHOOL]的弟子杀出包围，逃离了战场。随后，他们向修行界曝光了[NAME]的卑劣行径。	[NAME] tiến lên kính cẩn bái kiến trưởng lão %s của [SCHOOL], trưởng lão vui vẻ trò chuyện vài câu với [NAME] và chỉ điểm cho anh ấy một vài pháp quyết tu luyện.
[NAME]想了想，还是决定离开此地。	[NAME] suy nghĩ một lúc, quyết định rời khỏi nơi đây.
{0}决定采取武力之戒，劝解世人不要擅自扰乱民生。	{0} quyết định áp dụng giới võ lực, khuyên nhủ thế nhân không tự ý gây rối dân sinh.
{0}想了想，此时不需要食戒。	{0} nghĩ ngợi, nhận ra lúc này không cần đến giới thực.
[NAME]虽仅有金丹修为，但其对剑术一道的独到理解却折服在场诸多高人，最终被选为优胜，名动天下。	Mặc dù chỉ có tu vi Kim Đan, nhưng nhờ sự hiểu biết độc đáo về đạo kiếm thuật, [NAME] đã thuyết phục được nhiều cao nhân tại đó, cuối cùng được chọn làm người chiến thắng, danh động thiên hạ.
真·昆仑剑神	Chân·Côn Lôn Kiếm Thần.
第%s年，以金丹修为于昆仑法会斗剑优胜！	Năm thứ %s, với tu vi Kim Đan, giành chiến thắng tại Pháp Hội Côn Lôn trong lĩnh vực đấu kiếm!
[NAME]展示出在剑术之道上高超的理解，并折服诸多与会之人，拔得头筹，名声大振。	[NAME] thể hiện sự hiểu biết vượt trội về đạo kiếm thuật, thuyết phục được nhiều người tham dự và giành ngôi đầu, danh tiếng vang dội.
昆仑剑神	Côn Lôn Kiếm Thần.
第%s年，昆仑法会斗剑优胜！	Năm thứ %s, giành chiến thắng tại Pháp Hội Côn Lôn trong lĩnh vực đấu kiếm!
[NAME]虽然精通御剑之术，但是却在因心境波动而失手，最终遗憾出局。虽然如此，[NAME]也获益匪浅，并为宗门争取了不少名声。	[NAME] mặc dù tinh thông thuật ngự kiếm, nhưng lại mất tập trung do tâm cảnh dao động, cuối cùng tiếc nuối bị loại. Mặc dù vậy, [NAME] cũng gặt hái được nhiều lợi ích, đồng thời mang lại không ít danh tiếng cho tông môn.
[NAME]试图参与赤楼斗剑，然而他在御剑之道上的造诣不足，惨被淘汰。虽然无望仙缘，[NAME]依然在这个过程中感悟良多，获益匪浅。	[NAME] cố gắng tham gia đấu kiếm Xích Lâu, nhưng do kiến thức về đạo ngự kiếm không đủ, bị loại thảm bại. Dù không đạt được tiên duyên, [NAME] vẫn cảm ngộ được nhiều điều và gặt hái không ít lợi ích.
[NAME]搜索了此处，发现了一些原主人留下的宝物。	Nhờ vào dư uy của tuyệt sát, đệ tử của [SCHOOL] đã phá vòng vây, thoát khỏi chiến trường. Sau đó, họ đã phơi bày hành động thấp hèn của [NAME] với giới tu hành.
[NAME]搜寻了一番，什么都没有发现。	[NAME] tìm kiếm tại đây, phát hiện một số bảo vật do chủ nhân trước để lại.
[NAME]虽仅有金丹修为，但其对剑术一道的独到理解却折服在场诸多高人，最终被选为优胜，名动天下。因[NAME]宗门已有《七杀剑诀》传承，此次优胜便选择了一颗天道神丹作为奖励。	Mặc dù chỉ có tu vi Kim Đan, nhưng nhờ sự hiểu biết độc đáo về đạo kiếm thuật, [NAME] đã thuyết phục được nhiều cao nhân tại đó, cuối cùng được chọn làm người chiến thắng, danh động thiên hạ. Vì tông môn của [NAME] đã có truyền thừa "Thất Sát Kiếm Quyết", lần này chiến thắng liền chọn một viên Thiên Đạo Thần Đan làm phần thưởng.
